,Hours,Content Adgroup,Content,ContentID,ContentType,ContentSite,Adgroup,Adgroup Name,Adgroup Type,SEM Keyword,Keyword,KeywordType,Campaign Clicks,Order Value,Visitors,New Visitors,Bounces,Entry Rate %,Exit Rate %,OP Visits w Catalogue %,OP Visits w Search %,OP Visits w Product %,OP Visits w step Cart %,Campaign Lifecycle Contacts
3612,9,[B_063207|geo_04]: Converse jakarta {ID} (Test),B_063207|geo_04,B_063207,geo_04,NA,Converse jakarta (Test),Converse jakarta,Test,+converse +di +jakarta (Broad),converse di jakarta ,Broad,2,-1.0,1,1,0,100,0,100,0,0,0,-1
3613,9,[B_063330]: Chihtsai {ID},B_063330,B_063330,NA,NA,Chihtsai,Chihtsai,NA,+Chihtsai (Broad),chihtsai ,Broad,2,-1.0,1,1,0,100,0,100,0,0,0,-1
3614,9,[B_063256]: Prettyfit {ID},B_063256,B_063256,NA,NA,Prettyfit,Prettyfit,NA,prettyFIT (Exact),prettyfit ,Exact,2,-1.0,1,1,0,100,0,100,0,0,0,-1
3615,9,[B_063348|geo_02]: Charles And Keith bandung {ID} (Test),B_063348|geo_02,B_063348,geo_02,NA,Charles And Keith bandung (Test),Charles And Keith bandung,Test,+charles +and +keith +bandung (Broad),charles and keith bandung ,Broad,2,-1.0,1,1,0,100,0,100,0,0,0,-1
3616,9,[B_060419|eco_02]: Mango online shop {ID} (Mobile),B_060419|eco_02,B_060419,eco_02,NA,Mango online shop (Mobile),Mango online shop,Mobile,mango fashion online shop (Exact),mango fashion online shop ,Exact,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3617,9,[B_062992|eco_02]: Mug online shop {ID},B_062992|eco_02,B_062992,eco_02,NA,Mug online shop,Mug online shop,NA,+toko +mug (Broad),toko mug ,Broad,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3618,9,[B_063272]: Bobble {ID},B_063272,B_063272,NA,NA,Bobble,Bobble,NA,Bobble (Exact),bobble ,Exact,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3619,9,[B_060607]: the Balm {ID} (Mobile),B_060607,B_060607,NA,NA,the Balm (Mobile),the Balm,Mobile,the balm (Exact),the balm ,Exact,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3620,9,[B_060623|geo_01]: Esprit indonesia {ID} (Mobile),B_060623|geo_01,B_060623,geo_01,NA,Esprit indonesia (Mobile),Esprit indonesia,Mobile,+esprit +indonesia (Broad),esprit indonesia ,Broad,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3621,9,[B_060980|geo_01]: Pink indonesia {ID} (Mobile),B_060980|geo_01,B_060980,geo_01,NA,Pink indonesia (Mobile),Pink indonesia,Mobile,+pink +indonesia (Broad),pink indonesia ,Broad,1,-1.0,1,1,0,100,0,100,100,0,0,-1
3622,9,[B_061354|eco_11]: Rip Curl fashion {ID},B_061354|eco_11,B_061354,eco_11,NA,Rip Curl fashion,Rip Curl fashion,NA,+rip +curl +fashion (Broad),rip curl fashion ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3623,9,[B_063207|eco_01]: Converse online {ID} (Test),B_063207|eco_01,B_063207,eco_01,NA,Converse online (Test),Converse online,Test,+converse +online (Broad),converse online ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3624,9,[B_060603|geo_04]: Adidas jakarta {ID} (Mobile),B_060603|geo_04,B_060603,geo_04,NA,Adidas jakarta (Mobile),Adidas jakarta,Mobile,+adidas +jakarta (Broad),adidas jakarta ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3625,9,[B_062230]: Alleira {ID},B_062230,B_062230,NA,NA,Alleira,Alleira,NA,+alleira (Broad),alleira ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3626,9,[B_062992|geo_06]: Mug semarang {ID},B_062992|geo_06,B_062992,geo_06,NA,Mug semarang,Mug semarang,NA,+mug +di +semarang (Broad),mug di semarang ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3627,9,[B_060606|geo_04]: Surfer Girl jakarta {ID},B_060606|geo_04,B_060606,geo_04,NA,Surfer Girl jakarta,Surfer Girl jakarta,NA,+surfer +girl +jakarta (Broad),surfer girl jakarta ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3628,9,[B_063332|geo_06]: Juara semarang {ID},B_063332|geo_06,B_063332,geo_06,NA,Juara semarang,Juara semarang,NA,+Juara +semarang (Broad),juara semarang ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3629,9,[B_063201|geo_01]: Airwalk indonesia {ID} (Test),B_063201|geo_01,B_063201,geo_01,NA,Airwalk indonesia (Test),Airwalk indonesia,Test,+airwalk +indonesia (Broad),airwalk indonesia ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3630,9,[B_063331]: Erbe {ID},B_063331,B_063331,NA,NA,Erbe,Erbe,NA,+Erbe (Broad),erbe ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3631,9,[B_063338|eco_02]: Batik Semar online shop {ID},B_063338|eco_02,B_063338,eco_02,NA,Batik Semar online shop,Batik Semar online shop,NA,+toko +batik +semar (Broad),toko batik semar ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3632,9,[B_060978]: Tom Ford {ID},B_060978,B_060978,NA,NA,Tom Ford,Tom Ford,NA,+tom +ford (Broad),tom ford ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3633,9,[B_063228|eco_01]: Guess online {ID},B_063228|eco_01,B_063228,eco_01,NA,Guess online,Guess online,NA,+Guess +online (Broad),guess online ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3634,9,[B_063201]: Airwalk {ID} (Test),B_063201,B_063201,NA,NA,Airwalk (Test),Airwalk,Test,airwalk (Exact),airwalk ,Exact,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3635,9,[B_061323]: Contempo Kids {ID},B_061323,B_061323,NA,NA,Contempo Kids,Contempo Kids,NA,contempo kids (Exact),contempo kids ,Exact,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3636,9,[B_060666]: Skin Food,B_060666,B_060666,NA,NA,Skin Food,Skin Food,NA,+skin +food (Broad),skin food ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3637,9,[B_061360]: Wellen {ID},B_061360,B_061360,NA,NA,Wellen,Wellen,NA,+wellen (Broad),wellen ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3638,9,[B_062958|geo_02]: Air bandung {ID},B_062958|geo_02,B_062958,geo_02,NA,Air bandung,Air bandung,NA,+air +di +bandung (Broad),air di bandung ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3639,9,[B_063352|geo_07]: Toms Shoes surabaya {ID} (Test),B_063352|geo_07,B_063352,geo_07,NA,Toms Shoes surabaya (Test),Toms Shoes surabaya,Test,+toms +shoes +surabaya (Broad),toms shoes surabaya ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3640,9,[B_063208|geo_07]: Vans surabaya {ID} (Test),B_063208|geo_07,B_063208,geo_07,NA,Vans surabaya (Test),Vans surabaya,Test,+vans +surabaya (Broad),vans surabaya ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3641,9,[B_063285|geo_07]: Shasmira surabaya {ID},B_063285|geo_07,B_063285,geo_07,NA,Shasmira surabaya,Shasmira surabaya,NA,+Shasmira +surabaya (Broad),shasmira surabaya ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3642,9,[B_061120|geo_01]: Pierre Cardin indonesia {ID},B_061120|geo_01,B_061120,geo_01,NA,Pierre Cardin indonesia,Pierre Cardin indonesia,NA,+pierre +cardin +indonesia (Broad),pierre cardin indonesia ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3643,9,[B_062070]: Kidsroom {ID},B_062070,B_062070,NA,NA,Kidsroom,Kidsroom,NA,+kidsroom (Broad),kidsroom ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3644,9,[B_063344]: Rhomberg {ID},B_063344,B_063344,NA,NA,Rhomberg,Rhomberg,NA,+rhomberg (Broad),rhomberg ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3645,9,[B_060231|geo_02]: Icons bandung {ID},B_060231|geo_02,B_060231,geo_02,NA,Icons bandung,Icons bandung,NA,+icon +bandung (Broad),icon bandung ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3646,9,[B_060236|dis_02]: Volcom price {ID},B_060236|dis_02,B_060236,dis_02,NA,Volcom price,Volcom price,NA,+harga +volcom (Broad),harga volcom ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3647,9,[B_060218|eco_01]: Havaianas online {ID} (Mobile),B_060218|eco_01,B_060218,eco_01,NA,Havaianas online (Mobile),Havaianas online,Mobile,+havaianas +online (Broad),havaianas online ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3648,9,[B_060657]: Lee Cooper,B_060657,B_060657,NA,NA,Lee Cooper,Lee Cooper,NA,lee cooper (Exact),lee cooper ,Exact,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3649,9,[B_061348|geo_01]: Kanebo indonesia {ID},B_061348|geo_01,B_061348,geo_01,NA,Kanebo indonesia,Kanebo indonesia,NA,+kanebo +indonesia (Broad),kanebo indonesia ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3650,9,[B_060070|dis_04]: Nike cheap {ID} (Mobile),B_060070|dis_04,B_060070,dis_04,NA,Nike cheap (Mobile),Nike cheap,Mobile,+nike +murah (Broad),nike murah ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3651,9,[B_062938]: League {ID},B_062938,B_062938,NA,NA,League,League,NA,league (Exact),league ,Exact,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3652,9,[B_061321|geo_04]: Ocean Pacific jakarta {ID},B_061321|geo_04,B_061321,geo_04,NA,Ocean Pacific jakarta,Ocean Pacific jakarta,NA,+ocean +pacific +jakarta (Broad),ocean pacific jakarta ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3653,9,[B_063288|eco_01]: Hazna online {ID},B_063288|eco_01,B_063288,eco_01,NA,Hazna online,Hazna online,NA,+Hazna +online (Broad),hazna online ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3654,9,[B_063204|geo_02]: Diadora bandung {ID} (Test),B_063204|geo_02,B_063204,geo_02,NA,Diadora bandung (Test),Diadora bandung,Test,+diadora +bandung (Broad),diadora bandung ,Broad,1,-1.0,1,1,0,100,0,100,0,0,0,-1
3655,9,[B_062800]: Mozline {ID},B_062800,B_062800,NA,NA,Mozline,Mozline,NA,+mozline (Broad),mozline ,Broad,4,-1.0,1,0,0,100,0,100,0,0,0,-1
3656,9,[B_060657]: Lee Cooper {ID} (Mobile),B_060657,B_060657,NA,NA,Lee Cooper (Mobile),Lee Cooper,Mobile,lee cooper (Exact),lee cooper ,Exact,3,-1.0,1,0,0,100,0,100,0,0,0,-1
